type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,press.started,text_stroop.started,sound_1.started,dot.started,text_stroop.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,stroop.press.rt,stroop.press.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,sound_1.stopped,dot.stopped,thanks.started,thank_you.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
test,inconsistent,15,yellow,red,word,z,800,2000,46,46,0,z,1,1.1316602000006242,None,0,46,46,14,223.35418580000987,,,,,,,,,223.34914850001223,223.35418580000987,223.35418580000987,0.027648599992971867,223.53685730000143,223.53685730000143,224.48935800000618,z,1,1.1316602000006242,None,3.0881338542359935,224.49005430001125,224.5032598000107,227.60688500000106,227.57086690000142,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,22,red,yellow,word,z,800,2000,47,47,0,z,1,1.4174327999935485,None,0,47,47,21,227.60688500000106,,,,,,,,,227.60135120000632,227.60688500000106,227.60688500000106,0.030673599991132505,227.7855447000038,227.7855447000038,229.0365235000063,z,1,1.4174327999935485,None,2.712201601493499,229.03696930001024,229.05178560000786,231.77246010000817,231.7351825000078,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,46,yellow,yellow,word,m,800,2000,48,48,0,m,1,0.7247238000127254,None,0,48,48,45,231.77246010000817,,,,,,,,,231.76604100000986,231.77246010000817,231.77246010000817,0.030906699990737252,231.95059070001298,231.95059070001298,232.50175540000782,m,1,0.7247238000127254,None,1.5157699462656506,232.5021737000061,232.51757540000835,234.06093620001047,234.01767890001065,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,1,red,red,word,m,800,2000,49,49,0,m,1,0.7128318000031868,None,0,49,49,0,234.06093620001047,,,,,,,,,234.05554670000856,234.06093620001047,234.06093620001047,0.03774449999036733,234.21688090001408,234.21688090001408,234.78433160000714,m,1,0.7128318000031868,None,1.1311420461310264,234.78475230000913,234.79969580000034,235.92544830001134,235.9010804999998,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,51,red,red,word,m,800,2000,50,50,0,m,1,0.7661246999923605,None,0,50,50,50,235.92544830001134,,,,,,,,,235.92037450001226,235.92544830001134,235.92544830001134,0.019458100010524504,236.11579410001286,236.11579410001286,236.70069640000293,m,1,0.7661246999923605,None,2.0775523657123913,236.70106120000128,236.71576980000827,238.80614990000322,238.76597330000368,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,47,blue,blue,word,m,800,2000,51,51,0,m,1,1.2621913000039058,None,0,51,51,46,238.80614990000322,,,,,,,,,238.8010263000033,238.80614990000322,238.80614990000322,0.0350754999963101,238.98149310000008,238.98149310000008,240.08278030001384,m,1,1.2621913000039058,None,3.8354804010187245,240.08333510000375,240.09779400000116,243.9486678000103,243.9145428000047,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,56,green,red,word,z,800,2000,52,52,0,z,1,1.0792403999948874,None,0,52,52,55,243.9486678000103,,,,,,,,,243.94405240000924,243.9486678000103,243.9486678000103,0.029314800005522557,244.13136240000313,244.13136240000313,245.03183050001098,z,1,1.0792403999948874,None,2.2164857483328313,245.03254520001065,245.0463907000085,247.27270640000643,247.24610870001197,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,59,yellow,green,word,z,800,2000,53,53,0,z,1,0.7562631999899168,None,0,53,53,58,247.27270640000643,,,,,,,,,247.26785010000458,247.27270640000643,247.27270640000643,0.021685800005798228,247.4622747000103,247.4622747000103,248.03106200000911,z,1,0.7562631999899168,None,3.5092438428144117,248.03164860000834,248.04523950000294,251.55665490000683,251.52853080000204,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,35,red,red,word,m,800,2000,54,54,0,m,1,0.6106421000004048,None,0,54,54,34,251.55665490000683,,,,,,,,,251.55222240000148,251.55665490000683,251.55665490000683,0.02367249999952037,251.74399100001028,251.74399100001028,252.1780820000131,m,1,0.6106421000004048,None,4.719832083798959,252.17845280001347,252.1935564000014,256.92994450000697,256.89293430000544,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,4,red,green,word,z,800,2000,55,55,0,z,1,0.9039967999997316,None,0,55,55,3,256.92994450000697,,,,,,,,,256.92199800000526,256.92994450000697,256.92994450000697,0.02918149999459274,257.108682200007,257.108682200007,257.8436565000011,z,1,0.9039967999997316,None,5.6715438365385245,257.84402370000316,257.85862770001404,263.5493601000053,263.50790960001177,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,30,blue,red,word,z,800,2000,56,56,0,z,1,1.1059147999912966,None,0,56,56,29,263.5493601000053,,,,,,,,,263.54222820000723,263.5493601000053,263.5493601000053,0.0343630999996094,263.72330880000663,263.72330880000663,264.65859950000595,z,1,1.1059147999912966,None,3.2003170956852873,264.65906990000803,264.67290890000004,267.88974920001056,267.8563133000134,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,3,blue,red,word,z,800,2000,57,57,0,z,1,1.1988711999874795,None,0,57,57,2,267.88974920001056,,,,,,,,,267.883828200007,267.88974920001056,267.88974920001056,0.027321300003677607,268.0715973000042,268.0715973000042,269.1063498000003,z,1,1.1988711999874795,None,1.6207867463476786,269.10682670000824,269.1213043000025,270.75303850001364,270.7215714000049,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,26,green,yellow,word,z,800,2000,58,58,0,z,1,1.3356385000079172,None,0,58,58,25,270.75303850001364,,,,,,,,,270.7479963000078,270.75303850001364,270.75303850001364,0.026397100009489805,270.93791550000606,270.93791550000606,272.10593700000027,z,1,1.3356385000079172,None,5.8551962511457685,272.1063569000107,272.1206157000124,277.98571690000244,277.95250100000703,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,59,yellow,green,word,z,800,2000,59,0,1,z,1,0.8459789000044111,None,1,0,59,58,277.98571690000244,,,,,,,,,277.9806235000142,277.98571690000244,277.98571690000244,0.028213000012328848,278.15163030000986,278.15163030000986,278.8362996000069,z,1,0.8459789000044111,None,3.7681255119778516,278.83671960000356,278.85149570000067,282.6381118999998,282.6010537000111,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,16,red,green,word,z,800,2000,60,1,1,z,1,1.1379794999957085,None,1,1,60,15,282.6381118999998,,,,,,,,,282.63336010000785,282.6381118999998,282.6381118999998,0.032246499991742894,282.8167073000077,282.8167073000077,283.7842578000127,z,1,1.1379794999957085,None,2.707914271064968,283.78467680000176,283.7995516000083,286.51196360000176,286.48270140000386,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,15,yellow,red,word,z,800,2000,61,2,1,z,1,0.8453840000001946,None,1,2,61,14,286.51196360000176,,,,,,,,,286.5075463000103,286.51196360000176,286.51196360000176,0.024798200000077486,286.6987291000114,286.6987291000114,287.3666674000124,z,1,0.8453840000001946,None,3.2580409673362682,287.36723850001,287.3815956000035,290.6484638000111,290.61432950000744,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,36,red,red,word,m,800,2000,62,3,1,m,1,0.9902734000061173,None,1,3,62,35,290.6484638000111,,,,,,,,,290.6425503000064,290.6484638000111,290.6484638000111,0.02878749999217689,290.8139069000026,290.8139069000026,291.648345300011,m,1,0.9902734000061173,None,1.0099899657584623,291.6488328000123,291.66344260000915,292.6859347000136,292.6474862000032,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,47,blue,blue,word,m,800,2000,63,4,1,m,1,0.6626052000065101,None,1,4,63,46,292.6859347000136,,,,,,,,,292.68056060001254,292.6859347000136,292.6859347000136,0.03280590000213124,292.8631333000085,292.8631333000085,293.36409200000344,m,1,0.6626052000065101,None,5.772745209354424,293.364467300009,293.37949300000037,299.15383790001215,299.1290723000129,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,52,red,green,word,z,800,2000,64,5,1,z,1,0.8320865999994567,None,1,5,64,51,299.15383790001215,,,,,,,,,299.14925349999976,299.15383790001215,299.15383790001215,0.02004329999908805,299.34411730000284,299.34411730000284,299.99526660000265,z,1,0.8320865999994567,None,4.6853187786651,299.9958280000137,300.0124601000134,304.715746700007,304.6766408000112,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,57,yellow,yellow,word,m,800,2000,65,6,1,m,1,0.5942634999955771,None,1,6,65,56,304.715746700007,,,,,,,,,304.7103783000057,304.715746700007,304.715746700007,0.03375999999116175,304.89221020000696,304.89221020000696,305.32682320001186,m,1,0.5942634999955771,None,4.7877973443424615,305.3271767000115,305.3421268000093,310.1349760000012,310.1081591000111,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,27,green,red,word,z,800,2000,66,7,1,z,1,0.7381052999990061,None,1,7,66,26,310.1349760000012,,,,,,,,,310.1299716000067,310.1349760000012,310.1349760000012,0.021837199994479306,310.3236906000093,310.3236906000093,310.87482740000996,z,1,0.7381052999990061,None,1.1413170987522205,310.87523310001416,310.89008750001085,312.04883040000277,312.0075726000068,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,32,orange,green,word,z,800,2000,67,8,1,z,1,0.8958714000036707,None,1,8,67,31,312.04883040000277,,,,,,,,,312.0429829000059,312.04883040000277,312.04883040000277,0.03542169999855105,312.2231162000098,312.2231162000098,312.9582531000051,z,1,0.8958714000036707,None,4.117137176840923,312.9592199000035,312.9729786000098,317.10627280001063,317.0719705000083,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,44,green,red,word,z,800,2000,68,9,1,z,1,1.1828238000016427,None,1,9,68,43,317.10627280001063,,,,,,,,,317.1015790000092,317.10627280001063,317.10627280001063,0.029600699999718927,317.27140730000974,317.27140730000974,318.30614940001396,z,1,1.1828238000016427,None,1.540921307508468,318.3066598000005,318.3210079000128,319.8718894000049,319.83839580000495,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,56,green,red,word,z,800,2000,69,10,1,z,1,0.910958100008429,None,1,10,69,55,319.8718894000049,,,,,,,,,319.8666155000101,319.8718894000049,319.8718894000049,0.028347899991786107,320.0537822000042,320.0537822000042,320.788761600008,z,1,0.910958100008429,None,2.8040126740681837,320.7893247000029,320.80352090000815,323.6176417000097,323.58667490001244,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,38,blue,blue,word,m,800,2000,70,11,1,m,1,0.6573425000096904,None,1,11,70,37,323.6176417000097,,,,,,,,,323.6125583000103,323.6176417000097,323.6176417000097,0.025943100001313724,323.80257730001176,323.80257730001176,324.28745440000785,m,1,0.6573425000096904,None,3.602276989907935,324.2880368000042,324.3024187000119,327.9279045000003,327.8851735000062,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,51,red,red,word,m,800,2000,71,12,1,z,0,1.2465401999943424,None,1,12,71,50,327.9279045000003,,,,,,,,,327.92291180000757,327.9279045000003,327.9279045000003,0.03769600001396611,328.10099120000086,328.10099120000086,329.1848522000073,z,0,1.2465401999943424,None,4.301303851180162,329.1852198000124,329.2016549000109,333.51201600000786,333.48325450000993,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,53,red,yellow,word,z,800,2000,72,13,1,z,1,0.8033742000116035,None,1,13,72,52,333.51201600000786,,,,,,,,,333.5081666000042,333.51201600000786,333.51201600000786,0.0249436999874888,333.69905930000823,333.69905930000823,334.3174674000038,z,1,0.8033742000116035,None,5.19997272719763,334.3178270000062,334.33300320000853,339.55630740000925,339.51451670000097,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,54,green,green,word,m,800,2000,73,14,1,m,1,0.6628009999985807,None,1,14,73,53,339.55630740000925,,,,,,,,,339.55066920000536,339.55630740000925,339.55630740000925,0.036165400000754744,339.73047660000157,339.73047660000157,340.23283910000464,m,1,0.6628009999985807,None,4.902449431106194,340.2334600000031,340.2467439000029,345.15226230000553,345.129265200012,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,39,red,yellow,word,z,800,2000,74,15,1,z,1,1.1132914000045275,None,1,15,74,38,345.15226230000553,,,,,,,,,345.1480320000119,345.15226230000553,345.15226230000553,0.018681799992918968,345.3450384000025,345.3450384000025,346.27958970000327,z,1,1.1132914000045275,None,3.5606148737880985,346.2799543000001,346.2948061000061,349.86498030000075,349.8283036000066,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,23,green,green,word,m,800,2000,75,16,1,m,1,0.5851273000007495,None,1,16,75,22,349.86498030000075,,,,,,,,,349.8601883000083,349.86498030000075,349.86498030000075,0.0317600999987917,350.0433852000133,350.0433852000133,350.4619541000138,m,1,0.5851273000007495,None,4.168920213015348,350.46256150001136,350.47682010001154,354.65548660000786,354.62620980000065,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,46,yellow,yellow,word,m,800,2000,76,17,1,m,1,0.7152838000038173,None,1,17,76,45,354.65548660000786,,,,,,,,,354.65014650000376,354.65548660000786,354.65548660000786,0.023889800009783357,354.8416775000078,354.8416775000078,355.3771132000111,m,1,0.7152838000038173,None,3.3833820387359017,355.377636300007,355.3916917000024,358.7825875000126,358.75790360000974,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,48,yellow,red,word,z,800,2000,77,18,1,z,1,1.410664099996211,None,1,18,77,47,358.7825875000126,,,,,,,,,358.77837260000524,358.7825875000126,358.7825875000126,0.020434900012332946,358.9736730000004,358.9736730000004,360.20887070000754,z,1,1.410664099996211,None,5.777182714090801,360.20933220000006,360.2233325000125,365.99535070000275,365.9722686000023,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,33,yellow,green,word,z,800,2000,78,19,1,z,1,0.9506300000066403,None,1,19,78,32,365.99535070000275,,,,,,,,,365.9905568000104,365.99535070000275,365.99535070000275,0.018244499995489605,366.187869100002,366.187869100002,366.9563465000101,z,1,0.9506300000066403,None,3.447896387335471,366.9569951000012,366.97100960000535,370.4206925000035,370.40436930001306,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,17,yellow,green,word,z,800,2000,79,20,1,z,1,0.6675314000021899,None,1,20,79,16,370.4206925000035,,,,,,,,,370.41685980001057,370.4206925000035,370.4206925000035,0.01236550000612624,370.6199215000088,370.6199215000088,371.10414540000784,z,1,0.6675314000021899,None,1.9809789436007472,371.10465820001264,371.1195955000003,373.09519280001405,373.0698875000089,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,4,red,green,word,z,800,2000,80,21,1,z,1,0.8798727999965195,None,1,21,80,3,373.09519280001405,,,,,,,,,373.09036870001,373.09519280001405,373.09519280001405,0.020484699998633005,373.2853993000026,373.2853993000026,373.98715320001065,z,1,0.8798727999965195,None,3.2448319719750804,373.9877458000119,374.001900800009,377.24314850001247,377.2181166000082,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,5,orange,blue,word,z,800,2000,81,22,1,z,1,0.6554187000001548,None,1,22,81,4,377.24314850001247,,,,,,,,,377.2382181000139,377.24314850001247,377.24314850001247,0.020041100011439994,377.4338426000031,377.4338426000031,377.9015194000094,z,1,0.6554187000001548,None,4.791451338415261,377.901895700008,377.9171803000063,382.7195805000083,382.683131400001,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,10,green,yellow,word,z,800,2000,82,23,1,z,1,0.5965666999982204,None,1,23,82,9,382.7195805000083,,,,,,,,,382.7152894000028,382.7195805000083,382.7195805000083,0.03203170000051614,382.89893570001004,382.89893570001004,383.33326730001136,z,1,0.5965666999982204,None,2.6807072450530396,383.333721300005,383.3486528000067,386.02937220000604,385.9985119000048,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,19,green,red,word,z,800,2000,83,24,1,z,1,0.9430901000014273,None,1,24,83,18,386.02937220000604,,,,,,,,,386.0242983000062,386.02937220000604,386.02937220000604,0.0257458999985829,386.2146336000005,386.2146336000005,386.98195100000885,z,1,0.9430901000014273,None,4.934342975079253,386.98234760000196,386.9974102000124,391.9499449000141,391.91328460001387,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,28,yellow,yellow,word,m,800,2000,84,25,1,m,1,0.7363290999928722,None,1,25,84,27,391.9499449000141,,,,,,,,,391.9453846000106,391.9499449000141,391.9499449000141,0.03234520000114571,392.12887590000173,392.12887590000173,392.6981596000114,m,1,0.7363290999928722,None,2.884146297349907,392.6988949000079,392.71217310000793,395.6042618000065,395.57846340000106,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,consistent,41,green,green,word,m,800,2000,85,26,1,m,1,0.8650487999984762,None,1,26,85,40,395.6042618000065,,,,,,,,,395.59914990000834,395.6042618000065,395.6042618000065,0.020609400002285838,395.7944043000025,395.7944043000025,396.4785700000066,m,1,0.8650487999984762,None,1.5618656229574164,396.47893620000104,396.49415460000455,398.0515762000141,398.0276125000091,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,55,green,yellow,word,z,800,2000,86,27,1,z,1,0.8648735000024317,None,1,27,86,54,398.0515762000141,,,,,,,,,398.0476306000055,398.0515762000141,398.0515762000141,0.019991299996036105,398.2270024000027,398.2270024000027,398.92773920000764,z,1,0.8648735000024317,None,3.216470324523723,398.9281148000009,398.94321680000576,402.1743604000076,402.1427919000125,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
test,inconsistent,3,blue,red,word,z,800,2000,87,28,1,z,1,0.666223500011256,None,1,28,87,2,402.1743604000076,,,,,,,,,402.1676804000017,402.1743604000076,402.1743604000076,0.02491340000415221,402.3423554000037,402.3423554000037,402.8433767000097,z,1,0.666223500011256,None,1.7203498983003898,402.84379640000407,402.85856250001234,404.59753870000714,404.5593387000117,,,,,12344,001,2025-03-14_16h33.19.665,pleaseworkstroopcontrol,2024.2.4,59.917984262928364,2025-03-14 16h33.38.145923 -0700,
